ticker,date,avg_sentiment,sentiment_std,positive_ratio,negative_ratio,news_volume,sentiment_velocity
SPY,2024-03-20,0.0,0.10505782322917123,0.40816161849580684,0.3651708467136091,7,0.0
SPY,2024-03-21,0.013558801667375792,0.05936976511952864,0.45169570625008926,0.46711066994602557,9,0.013558801667375792
SPY,2024-03-22,0.06142786933836965,0.13199510173394427,0.4660394414362669,0.35716765952342744,7,0.04786906767099386
SPY,2024-03-25,0.027087738757965614,0.1817511380139706,0.3970669944330896,0.3614080933425203,11,-0.034340130580404034
SPY,2024-03-26,-0.12874697164752294,0.22628072013129089,0.32855132027431316,0.49647164428729995,8,-0.15583471040548855
SPY,2024-03-27,-0.05217945348404753,0.08737673352033425,0.45737072455470335,0.5052239052433692,3,0.0765675181634754
SPY,2024-03-28,-0.004046362204638273,0.08125076973888153,0.3503009808924214,0.4668080762068556,12,0.04813309127940926
SPY,2024-04-01,0.023232185673852865,0.11279016874537501,0.38613964336924056,0.3543031605366709,8,0.027278547878491138
SPY,2024-04-02,-0.05576850657365233,0.20161388698407992,0.3416006901440645,0.4437714250264109,4,-0.0790006922475052
SPY,2024-04-03,0.07508060681014972,0.19719136529139594,0.5348235955445574,0.4174995288844033,8,0.13084911338380206
SPY,2024-04-04,-0.04745856252596084,0.13684586555225597,0.3409110742616805,0.3777181072640305,7,-0.12253916933611056
SPY,2024-04-05,0.04423602172943757,0.13613098289780712,0.378724937838492,0.3482196601012068,12,0.09169458425539842
SPY,2024-04-08,-0.017178304326043767,0.17792650560524978,0.44819487008437736,0.4935034303881894,7,-0.06141432605548134
SPY,2024-04-09,0.1443341442542902,0.1426836003489399,0.5675225097225847,0.38368202315156963,11,0.16151244858033398
SPY,2024-04-10,-0.03914805785761151,0.20449222003104842,0.47425291847324086,0.3935825703045261,9,-0.1834822021119017
SPY,2024-04-11,-0.02438369412866622,0.2014039951875479,0.40722942763220904,0.4463690810193014,6,0.014764363728945289
SPY,2024-04-12,-0.2446375876996272,0.17668555741059205,0.34205341484960683,0.4762082299126273,5,-0.22025389357096098
SPY,2024-04-15,-0.18252329658536348,0.18420509945963587,0.3506858966355275,0.5373737532284473,8,0.062114291114263726
SPY,2024-04-16,-0.160368820366952,0.23852892575880744,0.40387794996188925,0.4486814081861353,10,0.02215447621841149
SPY,2024-04-17,-0.10008275228387213,0.23015847325545863,0.3648852610624243,0.4065310397666693,9,0.06028606808307986
SPY,2024-04-18,0.05495626116895293,0.12298684646876994,0.3848541513262273,0.4290564343610832,9,0.15503901345282506
SPY,2024-04-19,-0.06536408181303846,0.08210643694136217,0.4311040748828387,0.38931966123095324,8,-0.12032034298199139
SPY,2024-04-22,-0.5974270333422788,0.14916893422507682,0.15844904487027534,0.5840784551873056,4,-0.5320629515292403
SPY,2024-04-23,-0.438022321285501,0.14522382153707775,0.19699104830809103,0.5108686988475102,7,0.15940471205677775
SPY,2024-04-24,-0.4608474898039885,0.19122865599323668,0.2437744112845645,0.6066244029544345,8,-0.022825168518487482
